,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
280,9.6,9.2,10.0,7.7,7.3,7.0,103.0,8.6,7.9,8.4,9.0,8.9,9.3,Pakistan2015
281,5.1,2.5,5.6,3.4,7.3,4.0,54.6,4.0,5.5,4.8,5.7,3.5,3.2,Panama2015
282,6.9,7.1,6.3,6.2,9.0,7.1,83.4,6.9,8.7,6.6,7.3,4.6,6.7,Papua New Guinea2015
283,6.5,7.8,5.9,5.1,8.4,5.2,71.3,7.1,6.7,6.1,5.9,2.2,4.4,Paraguay2015
284,7.1,6.7,7.5,3.7,7.3,6.7,72.0,7.1,7.1,4.6,5.3,4.8,4.0,Peru2015
285,9.1,8.0,8.3,6.0,6.2,6.2,86.2,7.5,7.2,5.9,8.2,7.4,6.3,Philippines2015
286,2.3,3.8,4.4,4.1,3.5,4.4,39.8,3.2,2.8,2.5,3.3,2.8,2.7,Poland2015
287,1.6,1.8,2.6,5.1,2.9,2.2,29.7,1.8,2.7,2.3,2.6,1.6,2.5,Portugal2015
288,2.5,5.0,4.6,2.6,5.2,3.1,46.3,6.0,1.8,6.2,4.3,1.8,3.2,Qatar2015
289,3.5,5.2,6.8,5.2,4.7,4.5,54.2,5.6,4.3,3.9,3.7,2.7,4.1,Romania2015
290,9.1,8.1,9.3,4.4,6.4,4.5,80.0,7.9,4.7,8.9,5.1,5.7,5.9,Russia2015
291,6.2,8.0,8.8,6.3,8.2,7.5,90.2,6.5,7.3,7.7,8.0,7.9,7.8,Rwanda2015
292,5.2,5.1,4.5,6.5,5.4,8.9,68.2,6.2,5.0,4.5,6.2,2.1,8.6,Samoa2015
293,5.5,6.3,4.5,8.4,6.5,7.9,73.7,6.1,5.8,3.8,6.7,4.3,7.9,Sao Tome and Principe2015
294,6.4,8.0,7.4,4.4,5.8,3.7,71.6,7.8,3.7,9.2,5.8,4.6,4.8,Saudi Arabia2015
295,6.2,6.6,6.3,7.3,7.3,7.4,82.9,5.5,7.9,6.2,8.0,7.8,6.5,Senegal2015
296,6.0,8.0,8.1,6.7,5.3,5.3,73.8,5.7,4.7,4.9,5.5,7.0,6.6,Serbia2015
297,6.6,5.7,4.5,4.6,6.0,5.5,62.1,5.7,3.2,4.6,5.1,3.1,7.5,Seychelles2015
298,4.8,7.7,6.2,8.7,8.8,8.4,91.9,6.9,9.3,5.6,9.5,8.2,7.8,Sierra Leone2015
299,1.6,4.0,3.1,2.5,4.0,3.3,34.4,3.8,1.8,4.6,2.9,1.1,1.7,Singapore2015
300,2.1,1.6,3.9,4.2,3.9,2.8,31.5,2.6,2.0,2.0,2.8,1.4,2.3,Slovenia2015
301,6.4,8.2,6.5,7.6,8.9,6.3,85.9,7.3,7.6,5.7,8.5,4.9,8.0,Solomon Islands2015
302,9.7,10.0,9.5,9.1,9.0,9.2,114.0,9.3,9.3,10.0,9.6,9.8,9.5,Somalia2015
303,5.3,5.6,5.5,6.3,7.4,4.9,67.0,5.3,6.4,4.3,7.0,5.9,3.1,South Africa2015
304,2.1,3.8,3.4,2.0,3.5,3.5,36.3,3.3,2.4,2.6,2.8,1.5,5.4,South Korea2015
305,3.3,6.1,5.8,5.0,4.0,2.4,40.9,3.3,2.7,1.9,2.5,1.7,2.2,Spain2015
